talker_2	talker_1	phone_2	phone_1	by	score	n
30	32	k	dh	iy-ae	0.694444444444	216
30	32	k	hh	iy-ae	0.984375	320
30	33	dh	hh	iy-ae	0.78	250
30	33	dh	k	iy-ae	0.986666666667	75
30	33	hh	dh	iy-ae	0.533333333333	225
30	33	hh	k	iy-ae	0.973333333333	75
30	33	k	dh	iy-ae	0.693333333333	225
30	33	k	hh	iy-ae	0.776	250
31	1	dh	hh	iy-ae	0.771428571429	280
31	1	dh	k	iy-ae	0.9375	32
31	1	hh	dh	iy-ae	0.707142857143	140
31	1	hh	k	iy-ae	0.803571428571	56
31	1	k	dh	iy-ae	0.9625	80
31	1	k	hh	iy-ae	0.889285714286	280
31	20	dh	hh	iy-ae	0.840625	320
31	20	dh	k	iy-ae	0.6875	16
